URL,#nonblank,Federalist,DAP,Search,Login,USWDS,API.Data.Gov,Cloud.gov,Notes / Other
www.pic.gov,2,Yes,,Yes,,,,,
code.gov,2,Yes,,Yes,,,,,
federalist.18f.gov,2,Yes,,Yes,,,,,
jobkit.data.gov,2,Yes,,,,,,,Redirects to https://opportunity.census.gov/data/
beta.tsp.gov,2,Yes,,Yes,,,,,
www.challenge.gov,2,Yes,,Yes,,,,,
www.onhir.gov,2,Yes,,yes,,,,,
www.adlnet.gov,2,Yes,,soon?,,,,,
pacs.idmanagement.gov,2,Yes,,yes,,,,,
resources.data.gov,2,Yes,,yes,,,,,
www.cio.gov,2,Yes,,yes,,,,,
www.pbrb.gov,2,Yes,,yes,,,,,
fec.gov,2,Yes,,Yes,,,,,
agile.18f.gov,1,Yes,,,,,,,
fedsim.gsa.gov,1,Yes,,,,,,,
govconnect.18f.gov,1,Yes,,,,,,,
arch.idmanagement.gov,1,Yes,,,,,,,
federalist-docs.18f.gov,1,Yes,,,,,,,
18f.gsa.gov,1,Yes,,,,,,,
agile-bpa.18f.gov,1,Yes,,,,,,,
epa-notice.usa.gov,1,Yes,,,,,,,
federalist-landing-template.18f.gov,1,Yes,,,,,,,
federalist-modern-team-template.18f.gov,1,Yes,,,,,,,
oes.gsa.gov,1,Yes,,,,,,,
tailored.fedramp.gov,1,Yes,,,,,,,
piv.idmanagement.gov,1,Yes,,,,,,,
preview.login.gov,1,Yes,,,,,,,
revenuedata.doi.gov,1,Yes,,,,,,,
vote.gov,1,Yes,,,,,,,
18franklin.18f.gov,1,Yes,,,,,,,
product-guide.18f.gov,1,Yes,,,,,,,
sbst.gov,1,Yes,,,,,,,
accessibility.18f.gov,1,Yes,,,,,,,
acqstack-journeymap.18f.gov,1,Yes,,,,,,,
before-you-ship.18f.gov,1,Yes,,,,,,,
content-guide.18f.gov,1,Yes,,,,,,,
digitalaccelerator.18f.gov,1,Yes,,,,,,,
fedspendingtransparency.18f.gov,1,Yes,,,,,,,
frontend.18f.gov,1,Yes,,,,,,,
guides.18f.gov,1,Yes,,,,,,,
methods.18f.gov,1,Yes,,,,,,,
modularcontracting.18f.gov,1,Yes,,,,,,,
private-eye.18f.gov,1,Yes,,,,,,,
staging.code.gov,1,Yes,,,,,,,
agile-labor-categories.18f.gov,1,Yes,,,,,,,
brand.18f.gov,1,Yes,,,,,,,
climate-data-user-study.18f.gov,1,Yes,,,,,,,
fpki.idmanagement.gov,1,Yes,,,,,,,
presidentialinnovationfellows.gov,1,Yes,,,,,,,
developers.login.gov,1,Yes,,,,,,,
atul-docker-presentation.18f.gov,1,Yes,,,,,,,
paid-leave-prototype.18f.gov,1,Yes,,,,,,,
marketplace.fedramp.gov,1,Yes,,,,,,,
api-program.18f.gov,1,Yes,,,,,,,
open-source-program.18f.gov,1,Yes,,,,,,,
api-all-the-x.18f.gov,1,Yes,,,,,,,
api-usability-testing.18f.gov,1,Yes,,,,,,,
fellows-in-innovation.pif.gov,1,Yes,,,,,,,
apps.gov,1,Yes,,,,,,,
innovation-toolkit-prototype.18f.gov,1,Yes,,,,,,,
slides.18f.gov,1,Yes,,,,,,,
paygap.pif.gov,1,Yes,,,,,,,
federalist-uswds-template.18f.gov,1,Yes,,,,,,,
seedfund.nsf.gov,1,Yes,,,,,,,
home.dotgov.gov,1,Yes,,,,,,,
open-staging.usa.gov,1,Yes,,,,,,,
components.designsystem.digital.gov,1,Yes,,,,,,,
itmodernization.cio.gov,1,Yes,,,,,,,
boise.18f.gov,1,Yes,,,,,,,
www.pclob.gov,1,Yes,,,,,,,
labs.usa.gov,1,Yes,,,,,,,
eng-hiring.18f.gov,1,Yes,,,,,,,
aas.gsa.gov,1,Yes,,,,,,,
devicepki.idmanagement.gov,1,Yes,,,,,,,
ffb.treasury.gov,1,Yes,,,,,,,
ffb.gov,1,Yes,,,,,,,
micropurchase.18f.gov,1,Yes,,,,,,,
cyber.dhs.gov,1,Yes,,,,,,,
federalist-report-template.18f.gov,1,Yes,,,,,,,
plainlanguage.gov,1,Yes,,,,,,,
useiti.doi.gov,1,Yes,,,,,,,
demo.fedramp.gov,1,Yes,,,,,,,
demo.plainlanguage.gov,1,Yes,,,,,,,
join.tts.gsa.gov,1,Yes,,,,,,,
emerging.digital.gov,1,Yes,,,,,,,
markdown-helper.18f.gov,1,Yes,,,,,,,
obamaadministration.archives.performance.gov,1,Yes,,,,,,,
www.citizenscience.gov,4,Yes,Yes,Yes,,Yes,,,
participation.usa.gov,1,Yes,,,,,,,
ads.18f.gov,1,Yes,,,,,,,
feedback.usa.gov,1,Yes,,,,,,,
www.fpc.gov,1,Yes,,,,,,,
feedback-staging.usa.gov,1,Yes,,,,,,,
developers.code.gov,1,Yes,,,,,,,
onepagetest.18f.gov,1,Yes,,,,,,,
10x.gsa.gov,1,Yes,,,,,,,
demo.10x.gsa.gov,1,Yes,,,,,,,
performance-gov-research.18f.gov,1,Yes,,,,,,,
staging.performance.gov,1,Yes,,,,,,,
coe.gsa.gov,1,Yes,,,,,,,
tmf.cio.gov,1,Yes,,,,,,,
accessibility.digital.gov,1,Yes,,,,,,,
demo.accessibility.digital.gov,1,Yes,,,,,,,
v2.designsystem.digital.gov,1,Yes,,,,,,,
open.sam.gov,1,Yes,,,,,,,
www.cfda.gov,1,Yes,,,,,,,
designsystem.sam.gov,1,Yes,,,,,,,
demo.pic.gov,1,Yes,,,,,,,
www.feedthefuture.gov,1,Yes,,,,,,,
workflow.digital.gov,1,Yes,,,,,,,
federalist-staging.18f.gov,1,Yes,,,,,,,
www.afwerx.af.mil,1,Yes,,,,,,,
staging.code.gov,1,Yes,,,,,,,
federalist-staging.18f.gov,1,Yes,,,,,,,
tophealth.pif.gov,1,Yes,,,,,,,
cyber.dhs.gov,1,Yes,,,,,,,
design.login.gov,1,Yes,,,,,,,
ussm.gsa.gov,1,Yes,,,,,,,
public-sans.digital.gov,1,Yes,,,,,,,
www.nsin.us,1,Yes,,,,,,,
pra.digital.gov,1,Yes,,,,,,,
demo.pra.digital.gov,1,Yes,,,,,,,
1.usa.gov,1,Yes,,,,,,,
wdolhome.sam.gov,1,Yes,,,,,,,
sdg.data.gov,1,Yes,,,,,,,
federation.data.gov,1,Yes,,,,,,,
demo.pra.digital.gov,1,Yes,,,,,,,
pra.digital.gov,1,Yes,,,,,,,
vote.gov,1,Yes,,,,,,,
staging.vote.gov,1,Yes,,,,,,,
demo.adlnet.gov,1,Yes,,,,,,,
strategy-staging.data.gov,1,Yes,,,,,,,
federation-staging.data.gov,1,Yes,,,,,,,
sdg-staging.data.gov,1,Yes,,,,,,,
resources-staging.data.gov,1,Yes,,,,,,,
fbohome.sam.gov,1,Yes,,,,,,,
www.luca-appeals.gov,1,Yes,,,,,,,
mrsi.erdc.dren.mil,1,Yes,,,,,,,
www.ai.mil,1,Yes,,,,,,,
demo.touchpoints.digital.gov,1,Yes,,,,,,,
federation.data.gov,1,Yes,,,,,,,
www.silvacarbon.org,1,Yes,,,,,,,
findtreatment.gov,1,Yes,,,,,,,
www.findtreament.gov,1,Yes,,,,,,,
findtreatmentbeta.18f.gov,1,Yes,,,,,,,
www.xd.gov,1,Yes,,,,,,,
accelerate.census.gov,1,Yes,,,,,,,
formservice.gsa.gov,1,Yes,,,,,,,
engineering.18f.gov,1,Yes,,,,,,,
everykidoutdoors.gov,1,,,,,,,,Formerly everykidinapark.gov
10x.gsa.gov,1,,,,,Yes,,,
18f.gsa.gov,1,,,,,Yes,,,
accelerate.census.gov,1,,,,,Yes,,,
accessibility.18f.gov,1,,,,,Yes,,,
alaskacenters.gov,1,,,,,Yes,,,
amberalert.ojp.gov,1,,,,,Yes,,,
analytics.usa.gov,1,,,,,Yes,,,
arch.idmanagement.gov,1,,,,,Yes,,,
archives.gov,1,,,,,Yes,,,
bbg.gov,1,,,,,Yes,,,
before-you-ship.18f.gov,1,,,,,Yes,,,
beta.sam.gov,1,,,,,Yes,,,
betobaccofree.hhs.gov,1,,,,,Yes,,,
bja.ojp.gov,1,,,,,Yes,,,
bls.gov,1,,,,,Yes,,,
cbp.gov,1,,,,,Yes,,,
certify.sba.gov,1,,,,,Yes,,,
challenge.gov,4,Yes,Yes,Yes,,Yes,,,
choosemyplate.gov,1,,,,,Yes,,,
cio.gov,1,,,,,Yes,,,
cisa.gov,1,,,,,Yes,,,
citizenscience.gov,4,Yes,Yes,Yes,,Yes,,,
cloud.gov,1,,,,,Yes,,,
code.gov,1,,,,,Yes,,,
coe.gsa.gov,1,,,,,Yes,,,
commerce.gov,1,,,,,Yes,,,
cyber.dhs.gov/directives/,1,,,,,Yes,,,
dds.mil,1,,,,,Yes,,,
designsystem.digital.gov,1,,,,,Yes,,,
dhs.gov,1,,,,,Yes,,,
dietaryguidelines.gov,1,,,,,Yes,,,
digital.gov,1,,,,,Yes,,,
docline.gov,1,,,,,Yes,,,
dol.gov,1,,,,,Yes,,,
doleta.gov,1,,,,,Yes,,,
earthquake.usgs.gov,1,,,,,Yes,,,
emerging.digital.gov,1,,,,,Yes,,,
employer.gov,1,,,,,Yes,,,
epa-notice.usa.gov,1,,,,,Yes,,,
epa.gov,1,,,,,Yes,,,
ers.usda.gov,1,,,,,Yes,,,
fairs.reporting.gov,1,,,,,Yes,,,
farmers.gov,1,,,,,Yes,,,
fbohome.sam.gov,1,,,,,Yes,,,
fca.gov,1,,,,,Yes,,,
fcsic.gov,1,,,,,Yes,,,
fec.gov,1,,,,,Yes,,,
federalist-report-template.18f.gov,1,,,,,Yes,,,
federalist.18f.gov,1,,,,,Yes,,,
fedramp.gov,1,,,,,Yes,,,
feedback.usa.gov,1,,,,,Yes,,,
ffiec.cfpb.gov,1,,,,,Yes,,,
findtreatment.gov,1,,,,,Yes,,,
floodsmart.gov,1,,,,,Yes,,,
fns.usda.gov,1,,,,,Yes,,,
foia.gov,1,,,,,Yes,,,
foodsafety.gov,1,,,,,Yes,,,
forestsandrangelands.gov,1,,,,,Yes,,,
fpc.gov,1,,,,,Yes,,,
fpki.idmanagement.gov,1,,,,,Yes,,,
grc.nasa.gov,1,,,,,Yes,,,
gsa.gov,1,,,,,Yes,,,
hhs.gov/opioids/,1,,,,,Yes,,,
history.state.gov,1,,,,,Yes,,,
home.dotgov.gov,1,,,,,Yes,,,
home.treasury.gov,1,,,,,Yes,,,
https.cio.gov,1,,,,,Yes,,,
iawg.gov,1,,,,,Yes,,,
idmanagement.gov,1,,,,,Yes,,,
insurekidsnow.gov,1,,,,,Yes,,,
irs.gov,1,,,,,Yes,,,
itdashboard.gov,1,,,,,Yes,,,
itmodernization.cio.gov,1,,,,,Yes,,,
justice.gov,1,,,,,Yes,,,
labs.usa.gov,1,,,,,Yes,,,
listo.gov,1,,,,,Yes,,,
login.gov,1,,,,,Yes,,,
manufacturing.gov,1,,,,,Yes,,,
marketplace.fedramp.gov,1,,,,,Yes,,,
medicaid.gov,1,,,,,Yes,,,
methods.18f.gov,1,,,,,Yes,,,
move.mil,1,,,,,Yes,,,
my.uscis.gov,1,,,,,Yes,,,
mymedicare.gov,1,,,,,Yes,,,
nesr.usda.gov,1,,,,,Yes,,,
newfarmers.usda.gov,1,,,,,Yes,,,
nih.gov,1,,,,,Yes,,,
nij.ojp.gov,1,,,,,Yes,,,
nist.gov,1,,,,,Yes,,,
nixonlibrary.gov,1,,,,,Yes,,,
ntis.gov,1,,,,,Yes,,,
oes.gsa.gov,1,,,,,Yes,,,
oig.hhs.gov,1,,,,,Yes,,,
oit.va.gov,1,,,,,Yes,,,
ojjdp.ojp.gov,1,,,,,Yes,,,
ojp.gov,1,,,,,Yes,,,
open.fda.gov,1,,,,,Yes,,,
open.gsa.gov,1,,,,,Yes,,,
openforest.fs.usda.gov,1,,,,,Yes,,,
opioids.gov,1,,,,,Yes,,,
opportunity.census.gov,1,,,,,Yes,,,
opportunity.census.gov/jobkit.html,1,,,,,Yes,,,
orise.orau.gov,1,,,,,Yes,,,
pacs.idmanagement.gov,1,,,,,Yes,,,
paygap.pif.gov,1,,,,,Yes,,,
pbrb.gov,1,,,,,Yes,,,
pclob.gov,1,,,,,Yes,,,
performance.gov,1,,,,,Yes,,,
petitions.whitehouse.gov,1,,,,,Yes,,,
piv.idmanagement.gov,1,,,,,Yes,,,
plainlanguage.gov,1,,,,,Yes,,,
playbook.cio.gov,1,,,,,Yes,,,
pra.digital.gov,1,,,,,Yes,,,
property.reporting.gov,1,,,,,Yes,,,
ready.gov,1,,,,,Yes,,,
ready.gov/kids,1,,,,,Yes,,,
reporting.gov,1,,,,,Yes,,,
sbst.gov,1,,,,,Yes,,,
schoolsafety.gov,1,,,,,Yes,,,
sdg.data.gov,1,,,,,Yes,,,
search.gov,1,,,,,Yes,,,
seedfund.nsf.gov,1,,,,,Yes,,,
stopbullying.gov,1,,,,,Yes,,,
strategy.data.gov,1,,,,,Yes,,,
tailored.fedramp.gov,1,,,,,Yes,,,
tech.gsa.gov,1,,,,,Yes,,,
techfarhub.cio.gov,1,,,,,Yes,,,
time.gov,1,,,,,Yes,,,
tmf.cio.gov,1,,,,,Yes,,,
travel.reporting.gov,1,,,,,Yes,,,
trumanlibrary.gov,1,,,,,Yes,,,
tsa.gov,1,,,,,Yes,,,
usa.gov,1,,,,,Yes,,,
usagm.gov,1,,,,,Yes,,,
usaid.gov,1,,,,,Yes,,,
usajobs.gov,1,,,,,Yes,,,
usaspending.gov,1,,,,,Yes,,,
uscourts.gov,1,,,,,Yes,,,
usda.gov,1,,,,,Yes,,,
usds.gov,1,,,,,Yes,,,
usich.gov,1,,,,,Yes,,,
ussm.gsa.gov,1,,,,,Yes,,,
va.gov,1,,,,,Yes,,,
vote.gov,1,,,,,Yes,,,
vsfs.state.gov,1,,,,,Yes,,,
wdolhome.sam.gov,1,,,,,Yes,,,
whitehouse.gov,1,,,,,Yes,,,
worker.gov,1,,,,,Yes,,,
fdic.gov,0,,,,,,,,
atf-eregs.18f.gov,0,,,,,,,,
