URL,#nonblank,Federalist,DAP,Search,Login,USWDS,API.Data.Gov,Cloud.gov,Notes / Other
www.usa.gov,5,,Yes,Yes,,Yes,Yes,,"Other (?) Folks from our team have led Digital.gov webinars;
The Mobile COP's list of gov apps is on usa.gov"
touchpoints.digital.gov,5,Yes,Yes,,Yes,Yes,,Yes,
code.gov,5,Yes,Yes,yes,,,Yes,Yes,
digital.gov,4,Yes,Yes,Yes,,Yes,,,
pm.idmanagement.gov,4,Yes,Yes,Yes,,Yes,,,
login.gov,4,Yes,Yes,Soon,,Soon,,,
beta.sam.gov,3,,Yes,,Yes,Yes,,,
flag.dol.gov,3,,Yes,,Yes,Yes,,,
www.opioids.gov,4,Yes,Yes,,,Yes,,,url currently redirects https://www.hhs.gov/opioids/ (this version OBE)
openforest.fs.usda.gov,3,Yes,,,,Yes,,Yes,
myaccount.uscis.gov,2,,,,Yessish,Yes,,,
handbook.18f.gov,2,Yes,,Yes,,,,,
open.gsa.gov,2,Yes,Yes,,,,,,
designsystem.digital.gov,2,Yes,,Yes,,,,,
tech.gsa.gov,2,Yes,Yes,,,,,,
collegescorecard.ed.gov,2,Yes,,,,,,Yes,
open.usa.gov,2,Yes,,yes,,,,,
demo.digitalgov.gov,2,Yes,,,,,,,Redirects to digital.gov
demo.digital.gov,2,Yes,,,,,,,Redirects to digital.gov
connect.gov,2,Yes,,,,,,,Disambiguation tool directing people either to Connecticut tool or Login.gov
innovation.gov,2,Yes,,,,,,,Redirects to digital.gov
www.innovation.gov,2,Yes,,,,,,,Points people to digital.gov
demo.innovation.gov,2,Yes,,,,,,,Points people to digital.gov
open.foia.gov,2,Yes,,,,,,,Redirects to foia.gov
www.digitalgov.gov,2,Yes,,,,,,,Redirects to digital.gov
www.performance.gov,2,Yes,,Yes,,,,,
www.ussm.gov,2,Yes,,,,,,,Redirects to ussm.gsa.gov
www.ecpic.gov,2,Yes,,,,,,,Redirects to https://digital.gov/services/electronic-capital-planning-and-investment-control-ecpic/
digitalgov.gov,2,Yes,,,,,,,Redirects to digital.gov
www.fedramp.gov,2,Yes,,Yes,,,,,
www.cio.gov,2,Yes,,Yes,,,,,
